device_id,user_id,event_id,event_ts,event_type,old_value,new_value,trigger_source,label,user_feedback,temp_mean_before,temp_min_before,temp_max_before,hum_mean_before,fan_pwm_mean_before,lamp_ratio_before,setpoint_mean_before,mode_majority_before,hour_sin,hour_cos,day_period,target_setpoint,preference_profile,temp_mean_after,hum_mean_after
esp32-room-a,user-a,1,2026-05-01T07:45:00+07:00,setpoint_change,28.19,29.33,app,setpoint_adjustment,,28.023000000000003,27.96,28.09,56.122,22.095,0.0625,28.190000000000005,auto,0.8968727415326884,-0.44228869021900113,day,29.33,prefers_warmer,28.056666666666672,55.403333333333336
esp32-room-a,user-b,2,2026-05-01T08:33:00+07:00,setpoint_change,28.19,27.29,app,setpoint_adjustment,,28.332,28.28,28.4,54.94599999999999,26.964999999999996,0.0511,28.190000000000005,auto,0.7853169308807448,-0.6190939493098341,day,27.29,prefers_cooler,28.378333333333334,54.83166666666667
esp32-room-a,user-a,3,2026-05-01T12:11:00+07:00,setpoint_change,28.19,29.01,app,setpoint_adjustment,,28.320999999999998,28.22,28.44,51.479,26.573,0.0511,28.190000000000005,auto,-0.047978128521343505,-0.9988483864849507,day,29.01,prefers_warmer,28.416666666666668,51.324999999999996
esp32-room-a,user-b,4,2026-05-01T13:06:00+07:00,setpoint_change,28.19,27.45,app,setpoint_adjustment,,28.312,28.16,28.4,53.767999999999994,25.599,0.023100000000000002,28.190000000000005,auto,-0.28401534470392237,-0.9588197348681932,day,27.45,prefers_cooler,28.41,52.919999999999995
esp32-room-a,user-a,5,2026-05-01T18:51:00+07:00,setpoint_change,27.89,29.57,app,setpoint_adjustment,,27.892000000000003,27.68,28.14,52.922000000000004,53.91799999999999,0.3554,27.889999999999997,cool,-0.9753423205085127,0.22069743502150127,night,29.57,prefers_warmer,27.873333333333335,52.88666666666668
esp32-room-a,user-b,6,2026-05-01T19:34:00+07:00,setpoint_change,27.89,27.0,app,setpoint_adjustment,,27.982,27.87,28.15,54.74300000000001,25.034,0.33649999999999997,27.889999999999997,auto,-0.917060074385124,0.39874906892524625,night,27.0,prefers_cooler,28.06833333333333,54.895
esp32-room-a,user-a,7,2026-05-01T21:32:00+07:00,setpoint_change,27.89,29.66,app,setpoint_adjustment,,28.064999999999998,27.99,28.21,55.126,38.174,0.3482,27.889999999999997,auto,-0.6018150231520483,0.7986355100472928,night,29.66,prefers_warmer,27.861666666666665,54.34166666666666
esp32-room-a,user-b,8,2026-05-01T22:14:00+07:00,setpoint_change,27.89,27.04,app,setpoint_adjustment,,27.593,27.55,27.69,56.629,21.928,0.33799999999999997,27.889999999999997,auto,-0.4461978131098087,0.8949343616020251,night,27.04,prefers_cooler,27.66666666666666,56.41833333333333
esp32-room-a,user-a,9,2026-05-02T07:40:00+07:00,setpoint_change,28.2,29.21,app,setpoint_adjustment,,28.273000000000003,28.19,28.37,56.089999999999996,25.711000000000002,0.054700000000000006,28.2,auto,0.9063077870366498,-0.4226182617406997,day,29.21,prefers_warmer,28.256666666666664,56.046666666666674
esp32-room-a,user-b,10,2026-05-02T08:26:00+07:00,setpoint_change,28.2,27.27,app,setpoint_adjustment,,28.318,28.23,28.37,56.455999999999996,27.573,0.0558,28.2,auto,0.8038568606172172,-0.5948227867513415,day,27.27,prefers_cooler,28.316666666666663,56.60833333333334
esp32-room-a,user-a,11,2026-05-02T12:14:00+07:00,setpoint_change,28.2,29.18,app,setpoint_adjustment,,28.286,28.1,28.37,52.944,24.207,0.037,28.2,auto,-0.0610485395348565,-0.998134798421867,day,29.18,prefers_warmer,28.361666666666665,52.32
esp32-room-a,user-b,12,2026-05-02T12:52:00+07:00,setpoint_change,28.2,27.41,app,setpoint_adjustment,,28.129,27.99,28.21,51.903999999999996,45.742000000000004,0.0533,28.2,cool,-0.22495105434386498,-0.9743700647852352,day,27.41,prefers_cooler,28.26833333333333,52.428333333333335
esp32-room-a,user-a,13,2026-05-02T18:37:00+07:00,setpoint_change,27.9,29.51,app,setpoint_adjustment,,28.025,27.84,28.17,53.17199999999999,24.464,0.274,27.9,auto,-0.9869963665602319,0.16074256560382563,night,29.51,prefers_warmer,28.051666666666662,53.336666666666666
esp32-room-a,user-b,14,2026-05-02T19:36:00+07:00,setpoint_change,27.9,27.2,app,setpoint_adjustment,,27.996000000000002,27.92,28.04,55.964,23.836000000000002,0.2581,27.9,auto,-0.9135454576426008,0.40673664307580054,night,27.2,prefers_cooler,27.930000000000003,56.419999999999995
esp32-room-a,user-a,15,2026-05-02T21:36:00+07:00,setpoint_change,27.9,29.36,app,setpoint_adjustment,,27.792,27.68,27.9,55.754999999999995,43.956,0.26870000000000005,27.9,cool,-0.5877852522924734,0.8090169943749473,night,29.36,prefers_warmer,27.786666666666672,56.115
esp32-room-a,user-b,16,2026-05-02T22:23:00+07:00,setpoint_change,27.9,27.09,app,setpoint_adjustment,,27.873,27.74,28.05,57.599000000000004,22.116,0.2615,27.9,auto,-0.4107188526134778,0.9117620435770883,night,27.09,prefers_cooler,27.961666666666662,57.64166666666667
esp32-room-a,user-a,17,2026-05-03T07:52:00+07:00,setpoint_change,28.14,29.28,app,setpoint_adjustment,,27.791999999999994,27.72,27.87,57.013999999999996,22.587,0.0645,28.139999999999997,auto,0.8829475928589271,-0.46947156278589053,day,29.28,prefers_warmer,27.799999999999997,57.87833333333333
esp32-room-a,user-b,18,2026-05-03T08:38:00+07:00,setpoint_change,28.14,27.45,app,setpoint_adjustment,,28.223000000000003,28.1,28.3,55.782000000000004,22.706,0.06449999999999999,28.139999999999997,auto,0.7716245833877199,-0.6360782202777641,day,27.45,prefers_cooler,28.358333333333334,56.16166666666666
esp32-room-a,user-a,19,2026-05-03T12:21:00+07:00,setpoint_change,28.14,29.25,app,setpoint_adjustment,,28.089000000000006,27.99,28.23,53.247,20.851,0.0723,28.139999999999997,auto,-0.0915016186634019,-0.9958049275746618,day,29.25,prefers_warmer,28.343333333333334,54.004999999999995
esp32-room-a,user-b,20,2026-05-03T13:04:00+07:00,setpoint_change,28.14,27.14,app,setpoint_adjustment,,28.328999999999997,28.25,28.43,55.211,38.636,0.0558,28.139999999999997,auto,-0.2756373558169986,-0.961261695938319,day,27.14,prefers_cooler,28.146666666666665,54.00999999999999
esp32-room-a,user-a,21,2026-05-03T18:51:00+07:00,setpoint_change,27.84,29.6,app,setpoint_adjustment,,27.596000000000004,27.51,27.72,53.599000000000004,34.682,0.24519999999999995,27.839999999999996,auto,-0.9753423205085127,0.22069743502150127,night,29.6,prefers_warmer,27.650000000000002,53.01500000000001
esp32-room-a,user-b,22,2026-05-03T19:27:00+07:00,setpoint_change,27.84,27.0,app,setpoint_adjustment,,28.047000000000004,27.93,28.12,54.754999999999995,34.354000000000006,0.23049999999999998,27.839999999999996,auto,-0.9288095528719241,0.3705574375098364,night,27.0,prefers_cooler,27.84333333333333,54.846666666666664
esp32-room-a,user-a,23,2026-05-03T21:33:00+07:00,setpoint_change,27.84,29.4,app,setpoint_adjustment,,28.003999999999998,27.93,28.08,57.347,27.858999999999998,0.2344,27.839999999999996,auto,-0.5983246005706593,0.8012538126910604,night,29.4,prefers_warmer,27.97666666666667,57.03666666666667
esp32-room-a,user-b,24,2026-05-03T22:14:00+07:00,setpoint_change,27.84,27.0,app,setpoint_adjustment,,27.835999999999995,27.78,27.88,57.211,19.797,0.267,27.839999999999996,auto,-0.4461978131098087,0.8949343616020251,night,27.0,prefers_cooler,27.875,57.21
esp32-room-a,user-a,25,2026-05-04T07:45:00+07:00,setpoint_change,28.16,29.25,app,setpoint_adjustment,,27.901999999999997,27.88,27.92,56.080000000000005,22.958,0.0551,28.160000000000004,auto,0.8968727415326884,-0.44228869021900113,day,29.25,prefers_warmer,27.930000000000003,54.925000000000004
esp32-room-a,user-b,26,2026-05-04T08:27:00+07:00,setpoint_change,28.16,27.38,app,setpoint_adjustment,,27.991999999999997,27.98,28.03,55.562,21.439999999999998,0.0267,28.160000000000004,auto,0.8012538126910609,-0.5983246005706587,day,27.38,prefers_cooler,28.031666666666666,55.50833333333333
esp32-room-a,user-a,27,2026-05-04T12:16:00+07:00,setpoint_change,28.16,29.21,app,setpoint_adjustment,,28.125,27.97,28.22,53.46600000000001,21.761000000000003,0.0328,28.160000000000004,auto,-0.06975647374412572,-0.9975640502598242,day,29.21,prefers_warmer,28.258333333333336,52.63333333333333
esp32-room-a,user-b,28,2026-05-04T12:59:00+07:00,setpoint_change,28.16,27.27,app,setpoint_adjustment,,28.2,28.04,28.4,52.419000000000004,57.74400000000001,0.0268,28.160000000000004,cool,-0.25460194820552745,-0.9670459389139432,day,27.27,prefers_cooler,27.94666666666667,51.546666666666674
esp32-room-a,user-a,29,2026-05-04T18:48:00+07:00,setpoint_change,27.86,29.44,app,setpoint_adjustment,,27.708999999999996,27.58,27.9,54.314,39.99400000000001,0.3431,27.860000000000003,auto,-0.9781476007338056,0.20791169081775943,night,29.44,prefers_warmer,27.715,54.86000000000001
esp32-room-a,user-b,30,2026-05-04T19:31:00+07:00,setpoint_change,27.86,27.0,app,setpoint_adjustment,,27.985000000000003,27.81,28.13,55.553999999999995,49.52,0.3043,27.860000000000003,cool,-0.9222009716704518,0.3867109616368206,night,27.0,prefers_cooler,27.74166666666667,55.093333333333334
esp32-room-a,user-a,31,2026-05-04T21:35:00+07:00,setpoint_change,27.86,29.57,app,setpoint_adjustment,,27.986,27.88,28.04,56.693,24.782,0.3473,27.860000000000003,auto,-0.591309648363583,0.8064446042674821,night,29.57,prefers_warmer,28.028333333333336,56.56999999999999
esp32-room-a,user-b,32,2026-05-04T22:08:00+07:00,setpoint_change,27.86,27.1,app,setpoint_adjustment,,28.064000000000004,28.03,28.12,56.759,28.248,0.3315,27.860000000000003,auto,-0.4694715627858916,0.8829475928589265,night,27.1,prefers_cooler,28.0,56.156666666666666
esp32-room-a,user-a,33,2026-05-05T07:41:00+07:00,setpoint_change,28.18,29.18,app,setpoint_adjustment,,28.294,28.25,28.33,56.477999999999994,26.948,0.0516,28.18,auto,0.904455145454368,-0.4265687399014584,day,29.18,prefers_warmer,28.363333333333333,55.85833333333333
esp32-room-a,user-b,34,2026-05-05T08:26:00+07:00,setpoint_change,28.18,27.3,app,setpoint_adjustment,,28.312,28.25,28.39,54.407000000000004,25.563,0.013800000000000002,28.18,auto,0.8038568606172172,-0.5948227867513415,day,27.3,prefers_cooler,28.155,54.77333333333333
esp32-room-a,user-a,35,2026-05-05T12:10:00+07:00,setpoint_change,28.18,29.18,app,setpoint_adjustment,,28.085999999999995,27.95,28.15,52.673,35.685,0.0431,28.18,auto,-0.04361938736533583,-0.9990482215818578,day,29.18,prefers_warmer,28.256666666666664,52.45166666666666
esp32-room-a,user-b,36,2026-05-05T12:59:00+07:00,setpoint_change,28.18,27.38,app,setpoint_adjustment,,28.318000000000005,28.26,28.36,51.229,27.041000000000004,0.0316,28.18,auto,-0.25460194820552745,-0.9670459389139432,day,27.38,prefers_cooler,28.40833333333333,52.056666666666665
esp32-room-a,user-a,37,2026-05-05T18:47:00+07:00,setpoint_change,27.88,29.41,app,setpoint_adjustment,,27.792999999999996,27.65,27.9,52.967999999999996,36.445,0.3407,27.880000000000003,auto,-0.9790454724845837,0.20364175114017785,night,29.41,prefers_warmer,27.973333333333333,53.52333333333333
esp32-room-a,user-b,38,2026-05-05T19:22:00+07:00,setpoint_change,27.88,27.15,app,setpoint_adjustment,,28.046000000000003,27.9,28.19,54.604,35.236000000000004,0.3593,27.880000000000003,auto,-0.9366721892483977,0.3502073812594672,night,27.15,prefers_cooler,27.804999999999996,54.721666666666664
