device_id,bucket_start,interval_seconds,temp_mean,hum_mean,fan_pwm_mean,lamp_on_ratio,mode_majority,setpoint_mean,ac_compressor_on,outdoor_temp_est,outdoor_hum_est,occupancy_level
esp32-room-a,2026-05-01T00:00:00+07:00,60,28.09,53.26,21.32,0.124,auto,27.99,0,26.98,86.16,0.15
esp32-room-a,2026-05-01T00:01:00+07:00,60,28.11,53.47,26.93,0.067,auto,27.99,0,27.07,84.45,0.108
esp32-room-a,2026-05-01T00:02:00+07:00,60,28.06,53.73,27.99,0.117,auto,27.99,0,27.06,84.25,0.291
esp32-room-a,2026-05-01T00:03:00+07:00,60,28.09,53.96,21.09,0.034,auto,27.99,0,26.98,85.89,0.053
esp32-room-a,2026-05-01T00:04:00+07:00,60,28.09,54.22,24.44,0.069,auto,27.99,0,27.16,86.22,0.129
esp32-room-a,2026-05-01T00:05:00+07:00,60,28.06,54.17,21.45,0.146,auto,27.99,0,26.85,84.57,0.171
esp32-room-a,2026-05-01T00:06:00+07:00,60,28.03,54.3,24.64,0.057,auto,27.99,0,27.27,82.67,0.051
esp32-room-a,2026-05-01T00:07:00+07:00,60,28.07,54.35,17.33,0.02,auto,27.99,0,27.03,84.4,0.183
esp32-room-a,2026-05-01T00:08:00+07:00,60,28.09,54.35,24.83,0.051,auto,27.99,0,27.17,85.26,0.046
esp32-room-a,2026-05-01T00:09:00+07:00,60,28.06,54.35,17.48,0.064,auto,27.99,0,27.16,84.15,0.095
esp32-room-a,2026-05-01T00:10:00+07:00,60,28.07,54.59,22.96,0.013,auto,27.99,0,27.07,85.77,0.082
esp32-room-a,2026-05-01T00:11:00+07:00,60,28.0,54.45,23.8,0.002,auto,27.99,0,26.75,83.09,0.114
esp32-room-a,2026-05-01T00:12:00+07:00,60,28.03,54.33,21.08,0.0,auto,27.99,0,27.28,84.63,0.09
esp32-room-a,2026-05-01T00:13:00+07:00,60,28.04,54.47,19.33,0.0,auto,27.99,0,27.19,82.73,0.093
esp32-room-a,2026-05-01T00:14:00+07:00,60,28.04,54.92,20.92,0.002,auto,27.99,0,26.94,85.49,0.126
esp32-room-a,2026-05-01T00:15:00+07:00,60,28.07,55.07,29.64,0.0,auto,27.99,0,27.06,87.08,0.134
esp32-room-a,2026-05-01T00:16:00+07:00,60,27.99,55.28,21.0,0.0,auto,27.99,0,26.85,84.64,0.069
esp32-room-a,2026-05-01T00:17:00+07:00,60,28.08,55.98,25.47,0.0,auto,27.99,0,27.06,86.38,0.039
esp32-room-a,2026-05-01T00:18:00+07:00,60,28.05,55.88,21.57,0.053,auto,27.99,0,27.05,84.08,0.0
esp32-room-a,2026-05-01T00:19:00+07:00,60,27.96,55.81,21.76,0.144,auto,27.99,0,26.96,83.79,0.133
esp32-room-a,2026-05-01T00:20:00+07:00,60,27.91,55.65,18.74,0.161,auto,27.99,0,27.16,84.55,0.13
esp32-room-a,2026-05-01T00:21:00+07:00,60,27.94,55.78,21.3,0.021,auto,27.99,0,27.13,84.0,0.054
esp32-room-a,2026-05-01T00:22:00+07:00,60,27.88,55.54,22.78,0.107,auto,27.99,0,27.05,84.64,0.068
esp32-room-a,2026-05-01T00:23:00+07:00,60,27.94,55.65,20.15,0.111,auto,27.99,0,26.94,85.69,0.133
esp32-room-a,2026-05-01T00:24:00+07:00,60,27.88,55.4,29.43,0.151,auto,27.99,0,27.23,85.56,0.154
esp32-room-a,2026-05-01T00:25:00+07:00,60,27.83,55.27,24.89,0.025,auto,27.99,0,26.88,87.37,0.106
esp32-room-a,2026-05-01T00:26:00+07:00,60,27.89,55.36,24.9,0.0,auto,27.99,0,26.91,85.81,0.12
esp32-room-a,2026-05-01T00:27:00+07:00,60,27.85,55.34,26.12,0.0,auto,27.99,0,26.78,83.64,0.116
esp32-room-a,2026-05-01T00:28:00+07:00,60,27.89,55.53,28.02,0.044,auto,27.99,0,26.84,84.91,0.122
esp32-room-a,2026-05-01T00:29:00+07:00,60,27.9,55.34,22.41,0.038,auto,27.99,0,26.88,85.72,0.064
esp32-room-a,2026-05-01T00:30:00+07:00,60,27.88,55.1,19.34,0.151,auto,27.99,0,27.25,84.2,0.321
esp32-room-a,2026-05-01T00:31:00+07:00,60,27.79,55.14,17.22,0.064,auto,27.99,0,26.77,84.49,0.216
esp32-room-a,2026-05-01T00:32:00+07:00,60,27.72,55.67,16.21,0.0,auto,27.99,0,26.88,82.96,0.05
esp32-room-a,2026-05-01T00:33:00+07:00,60,27.71,55.81,29.78,0.063,auto,27.99,0,27.41,83.79,0.267
esp32-room-a,2026-05-01T00:34:00+07:00,60,27.69,55.83,15.81,0.03,auto,27.99,0,27.02,86.05,0.1
esp32-room-a,2026-05-01T00:35:00+07:00,60,27.72,56.09,22.7,0.059,auto,27.99,0,26.92,84.68,0.099
esp32-room-a,2026-05-01T00:36:00+07:00,60,27.74,56.11,31.42,0.131,auto,27.99,0,26.87,84.46,0.124
esp32-room-a,2026-05-01T00:37:00+07:00,60,27.79,56.21,24.16,0.0,auto,27.99,0,26.73,83.92,0.151
esp32-room-a,2026-05-01T00:38:00+07:00,60,27.77,56.31,22.24,0.067,auto,27.99,0,26.94,83.94,0.194
esp32-room-a,2026-05-01T00:39:00+07:00,60,27.84,55.78,20.93,0.056,auto,27.99,0,26.8,85.72,0.112
esp32-room-a,2026-05-01T00:40:00+07:00,60,27.86,56.21,15.1,0.104,auto,27.99,0,26.78,83.06,0.144
