device_id,user_id,ts,event_type,old_value,new_value,trigger_source,user_feedback,preference_profile
esp32-room-a,user-a,2026-05-01T07:45:00+07:00,setpoint_change,28.19,29.33,app,,prefers_warmer
esp32-room-a,user-b,2026-05-01T08:33:00+07:00,setpoint_change,28.19,27.29,app,,prefers_cooler
esp32-room-a,user-a,2026-05-01T12:11:00+07:00,setpoint_change,28.19,29.01,app,,prefers_warmer
esp32-room-a,user-b,2026-05-01T13:06:00+07:00,setpoint_change,28.19,27.45,app,,prefers_cooler
esp32-room-a,user-a,2026-05-01T18:51:00+07:00,setpoint_change,27.89,29.57,app,,prefers_warmer
esp32-room-a,user-b,2026-05-01T19:34:00+07:00,setpoint_change,27.89,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-01T21:32:00+07:00,setpoint_change,27.89,29.66,app,,prefers_warmer
esp32-room-a,user-b,2026-05-01T22:14:00+07:00,setpoint_change,27.89,27.04,app,,prefers_cooler
esp32-room-a,user-a,2026-05-02T07:40:00+07:00,setpoint_change,28.2,29.21,app,,prefers_warmer
esp32-room-a,user-b,2026-05-02T08:26:00+07:00,setpoint_change,28.2,27.27,app,,prefers_cooler
esp32-room-a,user-a,2026-05-02T12:14:00+07:00,setpoint_change,28.2,29.18,app,,prefers_warmer
esp32-room-a,user-b,2026-05-02T12:52:00+07:00,setpoint_change,28.2,27.41,app,,prefers_cooler
esp32-room-a,user-a,2026-05-02T18:37:00+07:00,setpoint_change,27.9,29.51,app,,prefers_warmer
esp32-room-a,user-b,2026-05-02T19:36:00+07:00,setpoint_change,27.9,27.2,app,,prefers_cooler
esp32-room-a,user-a,2026-05-02T21:36:00+07:00,setpoint_change,27.9,29.36,app,,prefers_warmer
esp32-room-a,user-b,2026-05-02T22:23:00+07:00,setpoint_change,27.9,27.09,app,,prefers_cooler
esp32-room-a,user-a,2026-05-03T07:52:00+07:00,setpoint_change,28.14,29.28,app,,prefers_warmer
esp32-room-a,user-b,2026-05-03T08:38:00+07:00,setpoint_change,28.14,27.45,app,,prefers_cooler
esp32-room-a,user-a,2026-05-03T12:21:00+07:00,setpoint_change,28.14,29.25,app,,prefers_warmer
esp32-room-a,user-b,2026-05-03T13:04:00+07:00,setpoint_change,28.14,27.14,app,,prefers_cooler
esp32-room-a,user-a,2026-05-03T18:51:00+07:00,setpoint_change,27.84,29.6,app,,prefers_warmer
esp32-room-a,user-b,2026-05-03T19:27:00+07:00,setpoint_change,27.84,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-03T21:33:00+07:00,setpoint_change,27.84,29.4,app,,prefers_warmer
esp32-room-a,user-b,2026-05-03T22:14:00+07:00,setpoint_change,27.84,27.0,app,,prefers_cooler
esp32-room-a,user-a,2026-05-04T07:45:00+07:00,setpoint_change,28.16,29.25,app,,prefers_warmer
esp32-room-a,user-b,2026-05-04T08:27:00+07:00,setpoint_change,28.16,27.38,app,,prefers_cooler
esp32-room-a,user-a,2026-05-04T12:16:00+07:00,setpoint_change,28.16,29.21,app,,prefers_warmer
esp32-room-a,user-b,2026-05-04T12:59:00+07:00,setpoint_change,28.16,27.27,app,,prefers_cooler
esp32-room-a,user-a,2026-05-04T18:48:00+07:00,setpoint_change,27.86,29.44,app,,prefers_warmer
